2811 26/07/16| 10,13,16,24,27,37| 2
2810 23/07/16| 1,9,15,20,23,28| 4
2809 19/07/16| 5,10,13,17,25,36| 3
2808 16/07/16| 4,6,15,24,31,37| 4
2807 12/07/16| 6,14,18,26,29,36| 7
2806 09/07/16| 1,2,5,16,24,34| 7
2805 05/07/16| 7,12,18,22,32,36| 3
2804 02/07/16| 3,7,10,21,33,35| 2
2803 28/06/16| 11,12,18,19,32,37| 4
2802 25/06/16| 2,12,21,23,28,31| 6
2801 21/06/16| 7,11,19,25,28,37| 4
2800 18/06/16| 12,14,16,29,32,37| 5
2799 14/06/16| 5,6,9,12,26,34| 4
2798 12/06/16| 1,20,23,24,26,32| 7
2797 07/06/16| 8,9,21,22,26,37| 6
2796 04/06/16| 5,8,17,31,32,37| 7
2795 31/05/16| 1,5,7,18,25,36| 1
2794 28/05/16| 4,6,14,22,28,29| 4
2793 24/05/16| 8,12,15,24,28,33| 5
2792 21/05/16| 3,5,6,13,26,29| 1
2791 17/05/16| 2,4,14,19,20,33| 1
2790 14/05/16| 13,17,20,26,35,37| 2
2789 10/05/16| 5,6,10,20,26,29| 3
2788 07/05/16| 1,9,20,25,27,31| 4
2787 03/05/16| 5,22,25,33,35,36| 1
2786 01/05/16| 2,6,8,14,29,34| 3
2785 26/04/16| 12,13,20,25,27,30| 6
2784 23/04/16| 2,5,6,14,22,32| 3
2783 19/04/16| 3,7,12,22,27,36| 2
2782 16/04/16| 7,13,19,32,35,37| 6
2781 12/04/16| 2,7,10,18,24,26| 5
2780 09/04/16| 5,8,11,20,29,36| 4
2779 05/04/16| 4,8,16,20,21,36| 3
2778 02/04/16| 3,15,26,28,32,33| 4
2777 29/03/16| 1,10,11,13,18,25| 7
2776 26/03/16| 6,10,14,15,26,36| 3
2775 22/03/16| 9,16,22,27,31,32| 6
2774 19/03/16| 6,9,17,26,27,36| 6
2773 15/03/16| 7,15,17,18,20,32| 5
2772 12/03/16| 1,5,14,21,27,30| 7
2771 08/03/16| 5,19,23,25,30,31| 3
2770 05/03/16| 1,2,7,8,9,26| 2
2769 01/03/16| 7,15,17,19,27,30| 4
2768 27/02/16| 3,18,19,22,24,26| 7
2767 23/02/16| 6,10,25,31,35,37| 4
2766 20/02/16| 2,5,21,29,34,37| 3
2765 16/02/16| 8,14,16,20,24,30| 1
2764 13/02/16| 2,13,14,19,21,30| 1
2763 09/02/16| 2,10,14,15,21,29| 2
2762 06/02/16| 1,4,11,19,30,32| 4
2761 02/02/16| 1,13,19,22,34,35| 6
2760 30/01/16| 8,9,11,12,13,22| 4
2759 26/01/16| 17,18,25,28,30,34| 5
2758 23/01/16| 5,16,18,23,24,26| 6
2757 19/01/16| 6,19,24,25,26,37| 7
2756 16/01/16| 1,8,13,27,32,37| 2
2755 12/01/16| 1,4,5,16,21,29| 1
2754 09/01/16| 3,12,14,24,32,34| 6
2753 05/01/16| 3,15,17,20,21,37| 1
2752 02/01/16| 1,13,15,30,31,32| 2
2751 29/12/15| 4,7,13,16,17,27| 6
2750 26/12/15| 14,21,27,31,32,35| 5
2749 22/12/15| 2,11,13,17,25,27| 5
2748 19/12/15| 1,11,13,25,27,29| 7
2747 15/12/15| 3,6,9,10,17,36| 5
2746 12/12/15| 4,9,10,12,13,29| 4
2745 08/12/15| 6,10,15,18,27,34| 6
2744 05/12/15| 4,17,18,23,25,28| 2
2743 01/12/15| 2,9,18,23,29,33| 5
2742 28/11/15| 7,19,27,29,34,35| 7
2741 24/11/15| 6,8,21,25,30,35| 6
2740 21/11/15| 7,9,14,21,26,34| 5
